State,Sentiment Score
MI,-0.4
MI,0
MI,-0.4
CA,-0.4
CA,-0.8
CA,-0.1
CA,0
CA,0
CA,0.1
CA,0
CA,-0.3
CA,-0.1
CA,-0.1
CA,0
CA,0.9
CA,-0.4
CA,-0.1
CA,0
CA,-0.1
CA,0.4
CA,-0.1
CA,-0.1
CA,-0.1
CA,0.3
CA,-0.3
CA,-0.4
CA,-0.1
CA,0
CA,0
CA,-0.4
CA,-0.2
CA,0.1
CA,-0.1
CA,0
CA,0.2
CA,-0.2
CA,-0.6
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.3
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.4
CA,0
CA,0
CA,0
CA,-0.5
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0.2
CA,-0.4
CA,-0.4
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.4
CA,-0.4
CA,-0.4
CA,-0.4
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.3
CA,-0.4
CA,-0.5
CA,-0.5
CA,-0.3
CA,-0.5
CA,0.1
PA,-0.4
PA,0.8
AZ,0
AZ,0
AZ,-0.3
AZ,-0.4
AZ,0.2
AZ,-0.5
AZ,0.2
AZ,0
WA,0
WA,0
WA,0
WA,0.9
WA,0
WA,-0.1
WA,0
WA,0
WA,0
WA,0.2
WA,0
WA,-0.4
WA,0
WA,-0.2
WA,-0.4
WA,0.5
WA,0
WA,0
WA,-0.8
WA,0
IL,0
IL,0.4
IL,0.4
IL,0.2
IL,0.1
IL,0.1
IL,0.1
IL,0.1
IL,0.1
IL,0.1
IL,0.4
IL,-0.1
IL,0.2
IL,-0.2
IL,0
IL,0
IL,0
IL,0
IL,0
IL,0.3
IL,0
IL,-0.1
IL,-0.1
IL,0
IL,0.2
IL,-0.6
IL,-0.4
IL,0.1
IL,0.1
IL,-0.5
IL,-0.4
IL,-0.3
IL,-0.5
IL,-0.4
IL,0.1
IL,-0.3
IL,-0.4
IL,-0.5
IL,-0.5
IL,-0.5
IL,-0.6
IL,0.1
IL,0.3
IL,0
IL,0
IL,0
IL,0.2
IL,0.1
IL,0.1
IL,-0.6
IL,-0.3
MI,-0.4
MI,0
MI,-0.4
CA,0.3
CA,-0.3
CA,-0.3
CA,0
CA,-0.3
CA,0
CA,0
CA,-0.3
CA,-0.3
CA,-0.2
CA,-0.4
CA,0
CA,-0.6
CA,-0.4
CA,0.9
CA,0.9
CA,0.9
CA,-0.1
CA,0.7
CA,-0.1
CA,-0.1
CA,0
CA,0
CA,0
CA,-0.4
CA,-0.8
CA,-0.1
CA,0
CA,0
CA,0.1
CA,0
CA,-0.3
CA,-0.1
CA,-0.1
CA,0
CA,0.9
CA,-0.4
CA,-0.1
CA,0
CA,-0.1
CA,0.4
CA,-0.1
CA,-0.1
CA,-0.1
CA,0.3
CA,-0.3
CA,-0.4
CA,-0.1
CA,0
CA,0
CA,-0.4
CA,-0.2
CA,0.1
CA,-0.1
CA,0
CA,0.2
CA,-0.2
CA,-0.6
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.3
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.4
CA,0
CA,0
CA,0
CA,-0.5
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0
CA,0.2
CA,-0.4
CA,-0.4
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.1
CA,-0.4
CA,-0.4
