user_name,"San Francisco, CA",state,post_city,latitude,longitude,post_time,sentiment_score,magnitude,text
Madelyn Cook,"Ann Arbor, Michigan",Michigan,detroit,42.331429,-83.045753,Thu Nov 29 12:13:43 +0000 2018,-0.4,0.9,The day that many scientists have waited for - and feared - has come . Biophysicist He Jiankui lead a misguided tria
P. F. Anderson,"Ann Arbor, Michigan",Michigan,detroit,42.331429,-83.045753,Tue Nov 27 13:59:13 +0000 2018,0,0,"Chinese scientist claims world's first gene-edited babies , amid denial from hospital and international outcry"
Sarah Prescott,"Ann Arbor, Michigan",Michigan,detroit,42.331429,-83.045753,Tue Nov 27 01:57:15 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies via
Bryan Foat,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Thu Nov 29 19:51:45 +0000 2018,-0.4,0.4,"#China #CRISPR baby research halted , they say #GMO baby - #gene editing #geneticmodification"
surgicalcaps.com,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Thu Nov 29 17:04:15 +0000 2018,-0.8,0.8,Stop work order .
Olav M. Underdal,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Thu Nov 29 13:46:19 +0000 2018,-0.1,0.1,""" China Halts Work by Scientist Who Says He Edited Babies Genes "" by SUI-LEE WEE via NYT"
Quintine Fowler,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Thu Nov 29 13:36:10 +0000 2018,0,0,China Halts Work by Scientist Who Says He Edited Babies Genes
Michael MacMaster 🇨🇦,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Thu Nov 29 12:47:04 +0000 2018,0,0,"RT : "" China orders halt to gene-editing after outcry over babies "" - #China is as close to #NaziGe"
❌STEVEN RESURRECTION❌,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Thu Nov 29 12:32:48 +0000 2018,0.1,0.1,""" China orders halt to gene-editing after outcry over babies "" - #China is as close to"
trash can man,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Thu Nov 29 03:11:22 +0000 2018,0,0.3,"Sure , I don't think it's going anywhere in the US , China's another story . I also think her situation's"
Martin Maryska,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Thu Nov 29 02:29:54 +0000 2018,-0.3,0.3,"#ChineseMengele scientist defends gene-editing babies , says trial on hold"
marie125,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Thu Nov 29 01:16:58 +0000 2018,-0.1,0.1,China baby gene editing claim ' dubious '
Aiden Shun,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Wed Nov 28 15:21:26 +0000 2018,-0.1,0.1,China baby gene editing claim ' dubious '
Ms KAM,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Wed Nov 28 11:41:24 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Jagdeep Jiandani,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Wed Nov 28 10:20:45 +0000 2018,0.9,0.9,' Proud ' Chinese geneticist says another baby-gene editing volunteer ...
